cadena,categoria,subcategoria,n
"Amarket","Salud Y Belleza","Salud Y Belleza",1169
"Amarket","Salud Y Bienestar","Salud Y Bienestar",873
"Amarket","Supermercado","Supermercado",835
"Amarket","Todo Para La Previa","Todo Para La Previa",412
"Amarket","Despensa","Despensa",408
"Amarket","Lo Nuevo","Lo Nuevo",353
"Amarket","Tu Proxima Compra Empieza Aqui","Tu Proxima Compra Empieza Aqui",311
"Amarket","Los Imperdibles 1 Sticker","Los Imperdibles 1 Sticker",249
"Amarket","Se Armo El Junte","Se Armo El Junte",222
"Amarket","Tiempo En Familia","Tiempo En Familia",216
"Amarket","Skincare","Skincare",207
"Amarket","Plasticos Y Similares","Plasticos Y Similares",198
"Amarket","Limpieza Del Hogar","Limpieza Del Hogar",197
"Amarket","Ofertas Del Mes","Ofertas Del Mes",178
"Amarket","Salsas Sazonadores Y Aderezos","Salsas Sazonadores Y Aderezos",163
"Amarket","Mascotas","Mascotas",150
"Amarket","Snack Attack","Snack Attack",137
"Amarket","Zona Papa","Zona Papa",131
"Amarket","Vinos Y Espumantes","Vinos Y Espumantes",127
"Amarket","Zona Escolar","Zona Escolar",113
"Amarket","Hogar","Hogar",106
"Amarket","Zona Mama","Zona Mama",106
"Amarket","Sorprendela Con Regalos Para Ella","Sorprendela Con Regalos Para Ella",99
"Amarket","Panaderia Y Reposteria","Panaderia Y Reposteria",99
"Amarket","Veranol","Veranol",99
"Amarket","Lacteos Y Derivados","Lacteos Y Derivados",99
"Amarket","Vuelve El 2 X 1","Vuelve El 2 X 1",97
"Amarket","Toallas Humedas Y Panales","Toallas Humedas Y Panales",92
"Amarket","Veranango","Veranango",89
"Amarket","La Hinchada Se Reune","La Hinchada Se Reune",89
"Amarket","Helados","Helados",89
"Amarket","Reposteria","Reposteria",88
"Amarket","Vogue","Vogue",87
"Amarket","San Remo","San Remo",79
"Amarket","Bebidas","Bebidas",79
"Amarket","Cuidado Personal","Cuidado Personal",79
"Amarket","Belleza Facial","Belleza Facial",77
"Amarket","Reyes Magos","Reyes Magos",75
"Amarket","Preparate Para El Junte","Preparate Para El Junte",75
"Amarket","Los Imperdibles 2 Stickers","Los Imperdibles 2 Stickers",75
"Amarket","Menaje Y Cocina","Menaje Y Cocina",73
"Amarket","Te","Te",70
"Amarket","Ofertas","Ofertas",66
"Amarket","Res","Res",62
"Amarket","Fideos Y Pastas","Fideos Y Pastas",59
"Amarket","Detergentes Y Jabones","Detergentes Y Jabones",58
"Amarket","Mi Salon De Belleza","Mi Salon De Belleza",57
"Amarket","Mermeladas Mieles Y Untables","Mermeladas Mieles Y Untables",56
"Amarket","Accesorios De Limpieza","Accesorios De Limpieza",53
"Amarket","Yogurt","Yogurt",52
"Amarket","Enlatados Y Envasados","Enlatados Y Envasados",50
"Amarket","","",47
"Amarket","Vapes","Vapes",45
"Amarket","Semana Infantil","Semana Infantil",45
"Amarket","Verduras","Verduras",40
"Amarket","Todo Para Tu Mesa","Todo Para Tu Mesa",37
"Amarket","Tiktok Sale Hasta 25 Off","Tiktok Sale Hasta 25 Off",35
